ip,x,y
78.186.164.224,40.2028,29.0312
178.213.130.74,40.0,45.0
83.149.38.41,56.8577,60.611000000000004
111.73.232.49,28.55,115.9333
195.113.144.245,50.0848,14.4112
72.5.24.102,42.3427,-71.0922
95.26.107.225,55.7527,37.6172
78.90.10.227,42.683,23.3175
89.103.225.234,50.7,14.0333
161.53.210.12,45.1603,18.0156
87.203.124.132,37.9842,23.7353
210.165.182.84,35.9569,139.3889
89.102.52.186,50.0667,12.3667
82.71.27.43,53.4809,-2.2374
78.84.68.226,57.55,25.4
114.24.67.162,25.0478,121.5318
87.226.64.18,56.9496,24.0978
111.252.18.196,23.9059,120.6866
78.83.54.25,42.683,23.3175
111.252.204.217,24.074,120.5384
98.231.25.223,30.2702,-82.6254
131.159.40.233,48.248999999999995,11.651
184.155.7.174,30.3989,-89.2843
95.182.74.39,55.7527,37.6172
87.236.31.142,55.7527,37.6172
145.116.6.140,52.3824,4.8995
128.36.132.145,41.3186,-72.9302
85.239.141.135,40.4143,-3.7016
169.236.9.88,37.3302,-120.508
24.107.115.226,38.5576,-90.4924
68.38.87.183,39.5043,-85.7875
115.30.176.173,33.8386,132.745
78.90.79.92,42.683,23.3175
91.202.134.25,48.5132,32.2597
217.164.163.79,25.3569,55.405
91.79.134.214,55.7527,37.6172
76.110.30.188,25.991999999999997,-80.2702
217.199.97.126,56.9496,24.0978
89.228.50.29,53.8208,22.3622
178.121.24.214,52.8926,30.024
118.231.67.213,23.5,121.0
217.208.223.53,56.0467,12.6944
76.112.185.98,42.5512,-82.9167
94.101.193.91,42.7,23.3333
159.148.226.252,56.9496,24.0978
111.251.82.194,24.9889,121.3176
114.27.229.184,23.5,121.0
95.111.37.139,42.683,23.3175
41.251.19.42,33.5922,-7.6184
79.103.207.50,40.6381,22.9455
218.103.243.9,22.2909,114.15
94.196.76.92,51.4964,-0.1224
81.104.184.70,51.4566,-0.968
218.212.8.110,1.2929,103.8547
76.121.243.162,47.3236,-122.3187
218.35.11.84,23.5,121.0
60.62.138.159,35.6357,139.9148
118.168.165.228,25.0478,121.5318
66.214.134.184,34.1607,-118.2264
196.44.189.188,-17.8178,31.0447
87.185.118.154,50.1544,8.6912
78.90.63.69,42.683,23.3175
46.232.156.42,42.7,23.3333
76.18.67.194,35.6975,-105.9821
85.248.44.71,49.2231,18.7394
176.9.0.5,51.2993,9.491
173.252.2.248,45.3668,-63.2654
81.30.186.152,54.7889,56.0481
178.203.92.166,51.5923,7.6638
89.190.248.103,54.7065,20.511
95.68.127.28,57.55,25.4
82.151.67.199,18.0864,-15.9753
178.174.153.76,59.4439,18.0687
88.81.50.254,56.3287,44.001999999999995
88.223.51.168,54.6816,25.3225
77.125.82.121,32.0667,34.7667
46.109.48.75,56.9496,24.0978
24.222.164.129,55.1808,-118.9103
178.140.17.239,55.7527,37.6172
119.56.20.29,1.3667,103.8
131.104.173.112,43.5184,-80.2257
109.121.241.79,42.683,23.3175
77.209.99.18,40.4143,-3.7016
118.161.57.55,24.9889,121.3176
130.75.183.148,52.3874,9.7465
212.233.250.190,43.2767,26.9292
95.73.110.231,55.9017,37.4375
88.80.102.94,42.2667,23.1167
98.224.46.203,30.3483,-81.4159
88.80.140.70,40.4143,-3.7016
93.81.156.155,44.0486,43.0594
61.31.143.171,24.9889,121.3176
92.248.202.40,56.8577,60.611000000000004
77.105.243.1,57.6467,11.9294
78.142.2.52,42.7,23.3333
60.250.139.239,25.0478,121.5318
93.80.121.63,55.7527,37.6172
46.187.90.69,55.7386,37.6068
87.79.228.84,50.9323,6.9183
211.181.131.43,37.5112,126.9741
114.36.152.251,23.5,121.0
193.86.244.132,49.3333,18.0
178.93.108.8,49.5937,34.5407
78.241.148.91,47.475,-0.5451
109.111.145.142,54.7065,20.511
84.26.188.205,51.5371,4.4729
116.92.25.225,22.2909,114.15
111.184.45.18,25.0478,121.5318
76.68.137.4,45.5334,-73.2825
91.210.158.202,50.45,30.5233
195.222.126.134,50.1653,36.8252
81.198.175.52,56.9669,23.1553
142.166.82.139,46.2198,-64.5411
61.227.193.114,22.6148,120.3139
92.247.213.123,42.7,23.3333
202.173.219.102,13.7594,100.4889
88.155.149.207,50.45,30.5233
173.212.70.194,44.6508,-63.6146
62.107.195.28,55.8607,9.8503
173.217.73.212,30.2285,-93.18799999999999
193.68.159.125,43.1278,25.7017
81.183.198.216,46.9,19.7833
89.23.0.75,57.8333,28.3333
77.99.71.174,51.4114,-0.226
98.254.172.76,27.2621,-80.3835
109.87.159.142,48.4602,35.0328
